Date;Day;Weekday;Is_weekend;Is_holiday;Week_of_month;Week_of_year;Month;Quarter;Year
11.10.2012;11;5;0;0;2;41;10;4;2012
12.10.2012;12;6;0;0;2;41;10;4;2012
13.10.2012;13;7;1;0;2;41;10;4;2012
14.10.2012;14;1;1;0;3;42;10;4;2012
15.10.2012;15;2;0;0;3;42;10;4;2012
16.10.2012;16;3;0;0;3;42;10;4;2012
17.10.2012;17;4;0;0;3;42;10;4;2012
18.10.2012;18;5;0;0;3;42;10;4;2012
19.10.2012;19;6;0;0;3;42;10;4;2012
20.10.2012;20;7;1;0;3;42;10;4;2012
21.10.2012;21;1;1;0;4;43;10;4;2012
22.10.2012;22;2;0;0;4;43;10;4;2012
23.10.2012;23;3;0;0;4;43;10;4;2012
24.10.2012;24;4;0;0;4;43;10;4;2012
25.10.2012;25;5;0;0;4;43;10;4;2012
26.10.2012;26;6;0;0;4;43;10;4;2012
27.10.2012;27;7;1;0;4;43;10;4;2012
28.10.2012;28;1;1;0;5;44;10;4;2012
29.10.2012;29;2;0;0;5;44;10;4;2012
30.10.2012;30;3;0;0;5;44;10;4;2012
31.10.2012;31;4;0;0;5;44;10;4;2012
01.11.2012;1;5;0;0;1;44;11;4;2012
02.11.2012;2;6;0;0;1;44;11;4;2012
03.11.2012;3;7;1;0;1;44;11;4;2012
04.11.2012;4;1;1;0;2;45;11;4;2012
05.11.2012;5;2;0;0;2;45;11;4;2012
06.11.2012;6;3;0;0;2;45;11;4;2012
07.11.2012;7;4;0;0;2;45;11;4;2012
08.11.2012;8;5;0;0;2;45;11;4;2012
09.11.2012;9;6;0;0;2;45;11;4;2012
10.11.2012;10;7;1;0;2;45;11;4;2012
11.11.2012;11;1;1;1;3;46;11;4;2012
12.11.2012;12;2;0;0;3;46;11;4;2012
13.11.2012;13;3;0;0;3;46;11;4;2012
14.11.2012;14;4;0;0;3;46;11;4;2012
15.11.2012;15;5;0;0;3;46;11;4;2012
16.11.2012;16;6;0;0;3;46;11;4;2012
17.11.2012;17;7;1;0;3;46;11;4;2012
18.11.2012;18;1;1;0;4;47;11;4;2012
